id,b,c,v,t
41002019,41,2,19,"Jesus said to them, ""Can the groomsmen fast while the bridegroom is with them? As long as they have the bridegroom with them, they can't fast."
41002020,41,2,20,"But the days will come when the bridegroom will be taken away from them, and then will they fast in that day."
41002021,41,2,21,"No one sews a piece of unshrunk cloth on an old garment, or else the patch shrinks and the new tears away from the old, and a worse hole is made."
41002022,41,2,22,"No one puts new wine into old wineskins, or else the new wine will burst the skins, and the wine pours out, and the skins will be destroyed; but they put new wine into fresh wineskins."""
41002023,41,2,23,"It happened that he was going on the Sabbath day through the grain fields, and his disciples began, as they went, to pluck the ears of grain."
41002024,41,2,24,"The Pharisees said to him, ""Behold, why do they do that which is not lawful on the Sabbath day?"""
41002025,41,2,25,"He said to them, ""Did you never read what David did, when he had need, and was hungry--he, and they who were with him?"
41002026,41,2,26,"How he entered into the house of God when Abiathar was high priest, and ate the show bread, which it is not lawful to eat except for the priests, and gave also to those who were with him?"""
41002027,41,2,27,"He said to them, ""The Sabbath was made for man, not man for the Sabbath."
41002028,41,2,28,"Therefore the Son of Man is lord even of the Sabbath."""
41003001,41,3,1,"He entered again into the synagogue, and there was a man there who had his hand withered."
41003002,41,3,2,"They watched him, whether he would heal him on the Sabbath day, that they might accuse him."
41003003,41,3,3,"He said to the man who had his hand withered, ""Stand up."""
41003004,41,3,4,"He said to them, ""Is it lawful on the Sabbath day to do good, or to do harm? To save a life, or to kill?"" But they were silent."
41003005,41,3,5,"When he had looked around at them with anger, being grieved at the hardening of their hearts, he said to the man, ""Stretch out your hand."" He stretched it out, and his hand was restored as healthy as the other."
41003006,41,3,6,"The Pharisees went out, and immediately conspired with the Herodians against him, how they might destroy him."
41003007,41,3,7,"Jesus withdrew to the sea with his disciples, and a great multitude followed him from Galilee, from Judea,"
41003008,41,3,8,"from Jerusalem, from Idumaea, beyond the Jordan, and those from around Tyre and Sidon. A great multitude, hearing what great things he did, came to him."
41003009,41,3,9,"He spoke to his disciples that a little boat should stay near him because of the crowd, so that they wouldn't press on him."
41003010,41,3,10,"For he had healed many, so that as many as had diseases pressed on him that they might touch him."
41003011,41,3,11,"The unclean spirits, whenever they saw him, fell down before him, and cried, ""You are the Son of God!"""
41003012,41,3,12,He sternly warned them that they should not make him known.
41003013,41,3,13,"He went up into the mountain, and called to himself those whom he wanted, and they went to him."
41003014,41,3,14,"He appointed twelve, that they might be with him, and that he might send them out to preach,"
41003015,41,3,15,and to have authority to heal sicknesses and to cast out demons:
41003016,41,3,16,"Simon, to whom he gave the name Peter;"
41003017,41,3,17,"James the son of Zebedee; John, the brother of James, and he surnamed them Boanerges, which means, Sons of Thunder;"
41003018,41,3,18,"Andrew; Philip; Bartholomew; Matthew; Thomas; James, the son of Alphaeus; Thaddaeus; Simon the Zealot;"
41003019,41,3,19,"and Judas Iscariot, who also betrayed him. He came into a house."
41003020,41,3,20,"The multitude came together again, so that they could not so much as eat bread."
41003021,41,3,21,"When his friends heard it, they went out to seize him: for they said, ""He is insane."""
41003022,41,3,22,"The scribes who came down from Jerusalem said, ""He has Beelzebul,"" and, ""By the prince of the demons he casts out the demons."""
41003023,41,3,23,"He summoned them, and said to them in parables, ""How can Satan cast out Satan?"
41003024,41,3,24,"If a kingdom is divided against itself, that kingdom cannot stand."
41003025,41,3,25,"If a house is divided against itself, that house cannot stand."
41003026,41,3,26,"If Satan has risen up against himself, and is divided, he can't stand, but has an end."
41003027,41,3,27,"But no one can enter into the house of the strong man to plunder, unless he first binds the strong man; and then he will plunder his house."
41003028,41,3,28,"Most assuredly I tell you, all of the children of men's sins will be forgiven them, including their blasphemies with which they may blaspheme;"
41003029,41,3,29,"but whoever may blaspheme against the Holy Spirit never has forgiveness, but is guilty of an eternal sin"""
41003030,41,3,30,"-- because they said, ""He has an unclean spirit."""
41003031,41,3,31,"His mother and his brothers came, and standing outside, they sent to him, calling him."
41003032,41,3,32,"A multitude was sitting around him, and they told him, ""Behold, your mother, your brothers, and your sisters{TR omits ""your sisters""} are outside looking for you."""
41003033,41,3,33,"He answered them, ""Who are my mother and my brothers?"""
41003034,41,3,34,"Looking around at those who sat around him, he said, ""Behold, my mother and my brothers!"
41003035,41,3,35,"For whoever does the will of God, the same is my brother, and my sister, and mother."""
