id,b,c,v,t
60005002,60,5,2,"Shepherd the flock of God which is among you, exercising the oversight, not under compulsion, but voluntarily, not for dishonest gain, but willingly;"
60005003,60,5,3,"neither as lording it over the charge allotted to you, but making yourselves examples to the flock."
60005004,60,5,4,"When the chief Shepherd is revealed, you will receive the crown of glory that doesn't fade away."
60005005,60,5,5,"Likewise, you younger ones, be subject to the elder. Yes, all of you gird yourselves with humility, to subject yourselves to one another; for ""God resists the proud, but gives grace to the humble."""
60005006,60,5,6,"Humble yourselves therefore under the mighty hand of God, that he may exalt you in due time;"
60005007,60,5,7,"casting all your worries on him, because he cares for you."
60005008,60,5,8,"Be sober and self-controlled. Be watchful. Your adversary the devil, walks around like a roaring lion, seeking whom he may devour."
60005009,60,5,9,"Withstand him steadfast in your faith, knowing that your brothers who are in the world are undergoing the same sufferings."
60005010,60,5,10,"But may the God of all grace, who called you to his eternal glory by Christ Jesus, after you have suffered a little while, perfect, establish, strengthen, and settle you."
60005011,60,5,11,To him be the glory and the power forever and ever. Amen.
60005012,60,5,12,"Through Silvanus, our faithful brother, as I consider him, I have written to you briefly, exhorting, and testifying that this is the true grace of God in which you stand."
60005013,60,5,13,"She who is in Babylon, chosen together with you, greets you; and so does Mark, my son."
60005014,60,5,14,Greet one another with a kiss of love. Peace be to you all who are in Christ Jesus. Amen.
